adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[18, 35, 10749]",1442388,en,Bukan Jodoh Biasa Nih,"Tells the story of Richard, Jonggi and Lingga, three miskom students who are trying to overcome routine financial problems. Of the many solution options that they often debated, they finally came up with one method that made Richard and his friends take a desperate path. Serve Mr. Brandon's challenge to get a hidden secret box in exchange for money and the heart of his daughter, Marsya.",22.388,/vwQBsapRSSKuGefT2W3qXIrt56v.jpg,2025-03-13,Bukan Jodoh Biasa Nih,False,0.0,0
False,,[27],1442386,en,Uwentira: Kota Jin,"A woman named Dewi visited the city of Palu to look for Salena, her acquaintance. When she arrived at the village, Tiara, her friend, welcomed Dewi warmly. However, Tiara's expression turned cold for a split second when Dewi said the word ""Uwentira"". Tiara's panic increased when she slowly realized the strange behavior of her old friend. A few seconds later, Tiara was sure that the Goddess in front of her now was not the Goddess she knew.",22.388,/1ejZLOpStxnw2RhtlxNHuQ9bJoa.jpg,2025-03-13,Uwentira: Kota Jin,False,0.0,0
False,,"[18, 10749]",1269298,ru,Точка опоры,"A successful film artist plans to go to his hometown for his sister’s wedding, accompanied by a movie star. With his arrival, he is going to humiliate his hated fiancé, the fat man and the slacker Shurik. But a quarrel with the actress ruins not only all his plans, but also radically changes his life. A true story of a selfish macho's reassessment of values.",22.355,/sYOnVTrE5JbBTfsRcaagKLV5Nc4.jpg,2025-03-13,The Fulcrum,False,0.0,0
False,/dPbrBB01nNl4oDJFOWvkUMoDOHR.jpg,[18],1271724,ru,Мужчина и женщина,"Poignant stories about men and women who have linked their lives — some for years, some for an hour, some for five minutes. Life stories that sound at home in the kitchen, in a compartment with strangers, in a taxi, or left in a notebook as a memory, because if the feelings are real, sincere, then it's forever. Moments of strange encounters and bitter breakups, in which you can see something familiar.",22.349,/xqGlDndf1K0CnB6xrXirIjimYbt.jpg,2025-03-13,Man and Woman,False,0.0,0
False,/4HnBkc45h6ABO9i6rbPHTqlKUu8.jpg,"[18, 80]",1013601,en,The Alto Knights,"Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.",21.486,/95KmR0xNuZZ6DNESDwLKWGIBvMg.jpg,2025-03-14,The Alto Knights,False,0.0,0
False,/75RPFgjv5nCmxR9xJcvvOJrcsAS.jpg,[99],1422166,en,The Age of Disclosure,"Director Dan Farah got 34 senior members of the U.S. Government, military, and intelligence community to come on camera. He says they reveal an 80 year cover-up of the existence of non-human intelligent life and a secret war amongst major nations to reverse engineer technology of non-human origin. The film explores the profound impact the situation has on the future of humanity, while providing a look behind-the-scenes with those at the forefront of the bi-partisan disclosure effort.",21.274,/qsV4QTjO1jLLezzPA8yRm207ymb.jpg,2025-03-14,The Age of Disclosure,False,0.0,0
False,/7cNE2qydew1c8fqnlhWjkE3DHc2.jpg,"[28, 18, 12, 10752]",927342,ta,அமரன்,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",21.217,/edQwd95BzHY2XaWAoUgS50A4DHT.jpg,2024-10-31,Amaran,False,7.4,190
False,/64jleJJyZj23dj8gpClAn8y6fX5.jpg,[10749],1442538,tl,Elevator Lady,An elevator lady who uses her body to earn more money. She falls for a wealthy married man without her knowing that this will soon lead to her downfall.,21.192,/4Q0eicxd5fq9llcoY2Mf8uUEE5r.jpg,2025-03-14,Elevator Lady,False,0.0,0
False,/IwADj3Pn2s9SLSthhBxZp3X53g.jpg,"[18, 35, 80]",1442417,en,A Murder in Oakland: Beauty is Deadly,"Recently cleared of an embezzlement charge, Detective Williams (Marcus D Spencer) is handed a high-profile murder case while also forced to take on a new partner. Williams is trying to solve this case while also working to see if he can trust his partner.",21.192,/iGz5PJNLHKZnWI2x36kP8igIZOe.jpg,2025-03-14,A Murder in Oakland: Beauty is Deadly,False,1.0,1
False,/yWRYg5M2iEkcZpepQNMfKCs50gt.jpg,[18],1440144,es,La deuda,,21.192,/cZkT8i9Z2yM38UMEDpqMIvcXm5D.jpg,2025-03-14,La deuda,False,0.0,0
False,/c5HfaZXhXCv1jwWBYuyD8xPOW3M.jpg,"[18, 10752]",1419826,en,The World Will Tremble,"The incredible, untold true story of how a group of prisoners attempt a seemingly impossible escape from the first Nazi death camp in order to provide the first eyewitness account of the Holocaust.",21.192,/nSVqv6Bx0fDZS55SynC7Kxspw2r.jpg,2025-03-14,The World Will Tremble,False,0.0,0
False,/aLKFFq7zyvIaQE1zvlx1fsm348a.jpg,[18],1443002,ta,மாடன் கொடை விழா,"Determined to revive a long-forgotten tradition, Murugan embarks on a mission to organize the annual Sudalai Madan ceremony, which has been defunct for years. However, his efforts are met with fierce resistance from various quarters.  Adding to the challenge, Murugan's girlfriend lays down an ultimatum: she will only marry him if he succeeds in pulling off the ceremony. Against all odds, Murugan perseveres, rallying the village community to support his cause. Will he triumph in his quest, and how will he overcome the hurdles to successfully organize the ceremony?",21.189,/4WlEM39rC5glXBuGsm5ApqXjbzd.jpg,2025-03-14,Maadan Kodai Vizha,False,0.0,0
False,/kyFYCrZTQBoLCePqAppG1ao18BP.jpg,"[878, 53]",1441567,en,Warden,"A docu-style science fiction thriller exploring the real-world impact of a young man discovering his superpowers. It delves into how his presence influences society, attracting followers, sparking conflict, and changing the lives of everyone around him.",21.189,/fn5PCbsOJy25k2p7TJ7pbBSqnoM.jpg,2025-03-14,Warden,False,0.0,0
False,/fXcWrJdBVGGhmAoUPltieJJFFxF.jpg,[27],1440087,bg,Скрити в мрака,,21.189,/2kjoayUhf8Uta1GmIiuGTSkGICS.jpg,2025-03-14,Скрити в мрака,False,0.0,0
False,,[99],1441571,lt,Subtilus reikalas,"A professor of anatomy believes that the work of scientists on humans should be more open to the public, so he lets young filmmakers into his daily life. In an attempt to look at what happens to the body after death, a portrait of the anatomist himself slowly unfolds. But how close are they allowed to get?",21.186,/eSWdsuwlgy8jrpHh5ThirP4vsD7.jpg,2025-03-14,Delicate matter,False,0.0,0
False,,[],1439254,fr,Terre Rouge - Topographie du poète,"Gaston Rollinger, an elderly poet and film-maker, lives alone in his childhood home in the astonishing landscape of Esch-sur-Alzette, a very special place where industrial relics meet wild nature. He draws all his inspiration from this place, and tells Fränz Hausemer many of his secrets, even though some of his landmarks are gradually beginning to disappear. This portrait of a singular man is interspersed with spellbinding pieces, the contours of which are drawn from Rollinger’s own poetry.",21.186,/YR5MywFwR7DdzBeNMmfdt8WEbC.jpg,2025-03-14,Terre Rouge - Topographie du poète,False,0.0,0
False,/q4NXTR3zmwkiX7a4saxVL26T0Vi.jpg,[],1438217,en,TNA Sacrifice 2025,"The 2025 Sacrifice is an upcoming professional wrestling event produced by Total Nonstop Action Wrestling. The event will take place on March 14, 2025, at the El Paso County Coliseum in El Paso, Texas, and air on TNA+. It will be the 16th event under the Sacrifice chronology. Wrestlers from WWE's NXT brand, with which TNA has a partnership, will also appear at the event.",21.186,/nxRgBBzxc55EQdeg3qXCCJfCCu.jpg,2025-03-14,TNA Sacrifice 2025,False,0.0,0
False,,"[99, 18]",1437979,en,Prisoners of Fire,"June 26,1990, the Dude Fire rages across Zane Gray country in the towering ponderosa forests below the Mogollon Rim in Central Arizona, killing five prison crew members and a female supervisor on her first fire. Follow along with the survivors and firefighters as they share their experience as inmate firefighters and their harrowing story of courage, loss and redemption.",21.186,/cH9GPeakTbqyssUmOhlB7WEeK48.jpg,2025-03-14,Prisoners of Fire,False,0.0,0
False,,[18],1439614,lb,Cinextdoor presentéiert: Marginal,"Luxembourg, beginning of the 20th century . A judge and a brigadier investigate difficult crimes which will lead them to explore the margins of a society in full transformation where victims and executioners merge.",21.183,/4zQTMjKjAdB76HnHhp6RxgomD1u.jpg,2025-03-14,Cinextdoor presentéiert: Marginal,False,0.0,0
False,/iRuC5BqFQiNEFuo1p7NyaLjkm8r.jpg,[],1439459,en,Mindscapes,"The canvas of the mind, where an artist's inner visions and emotions are painted into existence.",21.183,/oxh8f0IdxjeiaG0MGTH5PzRB1vL.jpg,2025-03-14,Mindscapes,False,0.0,0
False,,[27],1433811,en,Cold Read,"""Cold Read"" we follow Bugs, a struggling actor desperate to prove to his girlfriend and the rest of the world that he has what it takes to achieve his dreams. But when fate comes knocking with an audition for a mysterious new project, will he be willing to go to the dark places the role requires?",21.183,,2025-03-14,Cold Read,False,0.0,0
